,Compound,Date,Negative,Neutral,News Outlet,Positive,Source Account,Tweets Ago,Tweets Text
69,0.0,Sat Apr 28 19:15:09 +0000 2018,0.548,0.192,@CNN,0.26,CNN,70,This bill could weaken the protection of a credit freeze https://t.co/mmVkY9BttT https://t.co/KDVxAnSYQO
70,0.7184,Sat Apr 28 19:00:06 +0000 2018,0.647,0.0,@CNN,0.353,CNN,71,"China and India agree to maintain border peace, as summit ends https://t.co/mbe9FCpyAc https://t.co/13e9MUtA2v"
71,0.4215,Sat Apr 28 18:45:07 +0000 2018,0.633,0.127,@CNN,0.241,CNN,72,Australian Olympian Peter Norman honored over 1968 black power protest https://t.co/Am7VJfOwCS https://t.co/rj0fzhzawB
72,0.0,Sat Apr 28 18:30:06 +0000 2018,1.0,0.0,@CNN,0.0,CNN,73,Who is Meghan Markle's future husband? https://t.co/xrBmz2CcXG https://t.co/Eg76r4rwnl
73,0.1779,Sat Apr 28 18:15:04 +0000 2018,0.855,0.0,@CNN,0.145,CNN,74,Everything Amazon has added to Prime over the years https://t.co/9hB9XzHbLG https://t.co/yDYCJrI2z8
74,0.8834,Sat Apr 28 18:15:00 +0000 2018,0.57,0.0,@CNN,0.43,CNN,75,New Orleans residents share their pride and passion for their home as the city celebrates its 300th anniversary… https://t.co/UfCy8h12Di
75,-0.4767,Sat Apr 28 18:00:09 +0000 2018,0.838,0.162,@CNN,0.0,CNN,76,"White House shows documents to defend Dr. Ronny Jackson on car accident, some questions over pills… https://t.co/5c3ChCSNym"
76,-0.34,Sat Apr 28 17:45:05 +0000 2018,0.888,0.112,@CNN,0.0,CNN,77,President Trump calls for Democratic Sen. Jon Tester to resign over his opposition to White House physician Ronny J… https://t.co/ZJhmRN8aAc
77,0.0,Sat Apr 28 17:30:13 +0000 2018,1.0,0.0,@CNN,0.0,CNN,78,The Gaia satellite gave us a new star map that is out of this world https://t.co/AF3vhrj9jy (via @CNNOpinion) https://t.co/7t7pSfFiFe
78,0.5106,Sat Apr 28 17:15:06 +0000 2018,0.784,0.0,@CNN,0.216,CNN,79,Liberian ex-President Ellen Johnson Sirleaf dedicates $5M prize to women's empowerment https://t.co/Z1FxeTtMCz https://t.co/C7PSeLQaXL
